DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Jun-2021,EQ,"3,391.50","3,391.50","3,333.00","3,380.80","3,342.00","3,336.75","3,345.72","3,399.65","2,075.05",1355238,"4,53,42,49,770.00",80472
25-Jun-2021,EQ,"3,375.25","3,399.65","3,350.00","3,373.60","3,371.00","3,380.80","3,377.11","3,399.65","2,009.25",2722861,"9,19,54,12,962.85",112139
24-Jun-2021,EQ,"3,284.00","3,383.00","3,278.50","3,261.40","3,370.00","3,373.60","3,344.69","3,383.00","2,009.25",4155204,"13,89,78,53,675.10",191883
23-Jun-2021,EQ,"3,329.00","3,329.00","3,256.40","3,301.20","3,267.30","3,261.40","3,277.84","3,358.00","2,009.25",1467104,"4,80,89,28,707.90",97430
22-Jun-2021,EQ,"3,304.00","3,327.05","3,285.00","3,273.10","3,304.00","3,301.20","3,309.41","3,358.00","2,009.25",1708688,"5,65,47,51,060.65",91864
21-Jun-2021,EQ,"3,265.00","3,286.00","3,251.70","3,297.30","3,273.00","3,273.10","3,270.48","3,358.00","2,009.25",1130569,"3,69,75,04,601.30",77545
18-Jun-2021,EQ,"3,350.90","3,358.00","3,275.00","3,317.75","3,303.00","3,297.30","3,312.52","3,358.00","2,000.95",3380431,"11,19,77,61,791.30",141335
17-Jun-2021,EQ,"3,265.50","3,336.05","3,260.00","3,274.35","3,328.00","3,317.75","3,295.52","3,354.35","2,000.95",2273413,"7,49,20,87,861.65",131862
16-Jun-2021,EQ,"3,262.10","3,294.70","3,253.00","3,262.75","3,270.00","3,274.35","3,273.56","3,354.35","2,000.95",1635552,"5,35,40,77,782.45",92225
15-Jun-2021,EQ,"3,298.00","3,298.00","3,251.55","3,276.35","3,262.00","3,262.75","3,275.11","3,354.35","2,000.95",1304985,"4,27,39,70,422.60",96054
14-Jun-2021,EQ,"3,279.00","3,308.70","3,270.35","3,273.80","3,277.15","3,276.35","3,284.58","3,354.35","2,000.95",1847360,"6,06,77,99,808.60",82241
11-Jun-2021,EQ,"3,211.55","3,309.00","3,211.00","3,216.80","3,279.00","3,273.80","3,269.42","3,354.35","2,000.95",3452954,"11,28,91,68,561.40",139241
10-Jun-2021,EQ,"3,210.00","3,224.00","3,193.00","3,200.25","3,216.00","3,216.80","3,210.54","3,354.35","2,000.95",1874324,"6,01,75,89,512.15",100093
09-Jun-2021,EQ,"3,202.00","3,220.00","3,186.20","3,200.15","3,199.70","3,200.25","3,202.19","3,354.35","2,000.95",1710925,"5,47,87,05,691.35",75025
08-Jun-2021,EQ,"3,198.00","3,231.00","3,187.20","3,183.20","3,199.35","3,200.15","3,212.89","3,354.35","2,000.95",2574057,"8,27,01,59,545.55",115327
07-Jun-2021,EQ,"3,145.00","3,190.45","3,133.60","3,143.75","3,187.00","3,183.20","3,157.52","3,354.35","2,000.95",2559821,"8,08,26,89,475.70",102542
04-Jun-2021,EQ,"3,128.00","3,156.85","3,125.00","3,141.25","3,138.50","3,143.75","3,140.46","3,354.35","1,981.10",1836060,"5,76,60,71,003.15",78503
03-Jun-2021,EQ,"3,154.55","3,154.55","3,122.65","3,129.45","3,144.90","3,141.25","3,136.68","3,354.35","1,981.10",1281706,"4,02,03,00,713.05",91185
02-Jun-2021,EQ,"3,150.85","3,159.45","3,115.00","3,153.00","3,135.00","3,129.45","3,128.08","3,354.35","1,981.10",2240078,"7,00,71,34,474.80",132990
01-Jun-2021,EQ,"3,168.60","3,169.95","3,132.00","3,159.15","3,153.90","3,153.00","3,147.93","3,354.35","1,981.10",1377441,"4,33,60,83,044.90",91948
31-May-2021,EQ,"3,150.00","3,170.35","3,128.60","3,143.60","3,163.40","3,159.15","3,155.52","3,354.35","1,981.10",1652799,"5,21,54,39,448.10",86026
28-May-2021,EQ,"3,189.50","3,198.00","3,135.65","3,180.00","3,146.35","3,143.60","3,161.25","3,354.35","1,925.00",1763701,"5,57,54,92,889.05",98509
27-May-2021,EQ,"3,161.95","3,217.75","3,161.80","3,158.50","3,198.00","3,180.00","3,189.10","3,354.35","1,925.00",5959785,"19,00,63,45,222.15",181046
26-May-2021,EQ,"3,120.00","3,165.00","3,103.80","3,114.00","3,158.00","3,158.50","3,143.41","3,354.35","1,925.00",1923753,"6,04,71,45,461.35",98431
25-May-2021,EQ,"3,092.00","3,128.25","3,082.10","3,081.50","3,115.00","3,114.00","3,111.62","3,354.35","1,925.00",1841613,"5,73,03,95,912.55",122270
24-May-2021,EQ,"3,081.50","3,105.00","3,072.00","3,080.50","3,082.45","3,081.50","3,089.42","3,354.35","1,925.00",1652260,"5,10,45,27,041.80",79516
21-May-2021,EQ,"3,061.00","3,088.20","3,055.10","3,060.00","3,080.50","3,080.50","3,075.95","3,354.35","1,872.10",1685566,"5,18,47,15,065.35",74555
20-May-2021,EQ,"3,067.10","3,088.80","3,052.10","3,082.00","3,060.65","3,060.00","3,065.96","3,354.35","1,872.10",2329027,"7,14,06,93,825.45",110631
19-May-2021,EQ,"3,084.00","3,118.00","3,067.10","3,088.80","3,084.90","3,082.00","3,095.03","3,354.35","1,872.10",1986041,"6,14,68,47,715.90",112427
18-May-2021,EQ,"3,100.00","3,124.00","3,078.00","3,069.75","3,089.00","3,088.80","3,097.13","3,354.35","1,872.10",2098538,"6,49,94,42,922.95",65396
17-May-2021,EQ,"3,055.00","3,075.20","3,036.00","3,051.50","3,072.75","3,069.75","3,054.41","3,354.35","1,872.10",2890462,"8,82,86,42,067.75",98199
14-May-2021,EQ,"3,098.50","3,098.50","3,040.00","3,087.60","3,052.00","3,051.50","3,051.89","3,354.35","1,865.20",2043935,"6,23,78,62,560.75",126572
12-May-2021,EQ,"3,120.00","3,120.00","3,070.60","3,122.60","3,085.50","3,087.60","3,086.76","3,354.35","1,865.20",1978558,"6,10,73,29,661.55",101860
11-May-2021,EQ,"3,125.00","3,128.10","3,091.15","3,145.50","3,120.00","3,122.60","3,111.04","3,354.35","1,865.20",2415625,"7,51,51,02,667.10",93623
10-May-2021,EQ,"3,145.95","3,164.20","3,125.00","3,132.90","3,147.00","3,145.50","3,145.94","3,354.35","1,865.20",2137153,"6,72,33,56,016.90",100229
07-May-2021,EQ,"3,133.00","3,159.85","3,111.80","3,111.45","3,131.00","3,132.90","3,136.92","3,354.35","1,865.20",1912540,"5,99,94,92,210.40",94194
06-May-2021,EQ,"3,105.50","3,134.00","3,074.00","3,095.70","3,115.90","3,111.45","3,107.27","3,354.35","1,865.20",1791671,"5,56,72,13,773.10",72680
05-May-2021,EQ,"3,070.00","3,099.40","3,052.40","3,049.75","3,095.75","3,095.70","3,083.22","3,354.35","1,865.20",1939289,"5,97,92,55,988.85",115524
04-May-2021,EQ,"3,062.80","3,090.00","3,035.00","3,037.00","3,052.90","3,049.75","3,061.20","3,354.35","1,865.20",1990777,"6,09,41,67,595.30",94786
03-May-2021,EQ,"3,024.90","3,055.00","3,004.00","3,035.65","3,035.85","3,037.00","3,035.65","3,354.35","1,865.20",1545831,"4,69,26,05,166.20",109575
30-Apr-2021,EQ,"3,099.00","3,132.05","3,020.00","3,115.25","3,040.00","3,035.65","3,063.19","3,354.35","1,825.00",3072305,"9,41,10,56,605.10",157829
29-Apr-2021,EQ,"3,145.60","3,157.35","3,105.50","3,124.10","3,114.45","3,115.25","3,130.83","3,354.35","1,825.00",1621395,"5,07,63,05,907.85",98275
28-Apr-2021,EQ,"3,149.95","3,151.00","3,112.00","3,132.00","3,123.00","3,124.10","3,125.72","3,354.35","1,825.00",1639037,"5,12,31,75,756.75",76017
27-Apr-2021,EQ,"3,106.00","3,136.10","3,103.00","3,100.80","3,132.75","3,132.00","3,122.18","3,354.35","1,825.00",1471417,"4,59,40,35,861.35",97077
26-Apr-2021,EQ,"3,102.05","3,153.00","3,088.05","3,109.50","3,100.05","3,100.80","3,122.35","3,354.35","1,825.00",2490260,"7,77,54,64,961.20",87012
23-Apr-2021,EQ,"3,105.00","3,119.00","3,091.05","3,118.80","3,110.20","3,109.50","3,105.86","3,354.35","1,719.15",1615309,"5,01,69,30,338.85",93127
22-Apr-2021,EQ,"3,148.00","3,148.00","3,105.25","3,144.55","3,121.05","3,118.80","3,122.39","3,354.35","1,719.15",1988980,"6,21,03,80,335.40",172941
20-Apr-2021,EQ,"3,225.00","3,225.35","3,126.35","3,161.80","3,140.00","3,144.55","3,150.28","3,354.35","1,719.15",3141893,"9,89,78,43,132.45",162928
19-Apr-2021,EQ,"3,169.00","3,189.00","3,135.10","3,195.15","3,159.15","3,161.80","3,164.13","3,354.35","1,719.15",2679106,"8,47,70,31,167.55",126444
16-Apr-2021,EQ,"3,229.00","3,247.00","3,182.60","3,218.95","3,186.10","3,195.15","3,209.11","3,354.35","1,675.05",3224657,"10,34,82,87,512.60",123918
15-Apr-2021,EQ,"3,160.30","3,237.25","3,087.45","3,104.05","3,227.00","3,218.95","3,168.14","3,354.35","1,675.05",6062760,"19,20,76,55,907.60",219212
13-Apr-2021,EQ,"3,214.00","3,214.00","3,073.05","3,246.55","3,120.00","3,104.05","3,116.13","3,354.35","1,675.05",8654596,"26,96,88,83,551.05",436638
12-Apr-2021,EQ,"3,322.25","3,338.10","3,213.20","3,322.25","3,250.00","3,246.55","3,275.21","3,354.35","1,675.05",3791828,"12,41,90,18,301.00",202522
09-Apr-2021,EQ,"3,354.00","3,354.35","3,308.00","3,317.35","3,325.00","3,322.25","3,327.38","3,354.35","1,675.05",2911129,"9,68,64,22,200.65",114832
08-Apr-2021,EQ,"3,270.00","3,335.00","3,266.05","3,271.40","3,315.00","3,317.35","3,314.03","3,339.80","1,675.05",2578118,"8,54,39,56,094.10",142722
07-Apr-2021,EQ,"3,259.00","3,277.55","3,234.80","3,264.70","3,271.00","3,271.40","3,258.05","3,339.80","1,675.05",2491268,"8,11,66,66,257.70",122792
06-Apr-2021,EQ,"3,275.00","3,275.00","3,230.00","3,238.90","3,266.50","3,264.70","3,254.36","3,339.80","1,675.05",2291562,"7,45,75,70,557.40",109190
05-Apr-2021,EQ,"3,171.00","3,263.00","3,151.00","3,165.00","3,241.00","3,238.90","3,206.75","3,339.80","1,675.05",5317862,"17,05,30,50,939.60",229667
01-Apr-2021,EQ,"3,191.10","3,215.00","3,145.00","3,177.85","3,167.00","3,165.00","3,178.41","3,339.80","1,650.00",4285076,"13,61,97,43,474.75",154796
31-Mar-2021,EQ,"3,155.00","3,205.00","3,132.00","3,158.55","3,175.30","3,177.85","3,177.88","3,339.80","1,650.00",3530069,"11,21,81,35,153.05",156653
30-Mar-2021,EQ,"3,083.00","3,188.45","3,060.90","3,066.80","3,172.00","3,158.55","3,139.65","3,339.80","1,650.00",4694261,"14,73,83,34,444.25",191356
26-Mar-2021,EQ,"3,090.65","3,118.00","3,043.05","3,064.85","3,062.00","3,066.80","3,078.97","3,339.80","1,617.75",3697370,"11,38,40,84,592.30",201134
25-Mar-2021,EQ,"3,112.20","3,130.85","3,050.00","3,121.10","3,074.50","3,064.85","3,091.11","3,339.80","1,617.75",3179786,"9,82,90,64,107.90",153808
24-Mar-2021,EQ,"3,111.20","3,152.30","3,111.15","3,142.60","3,123.60","3,121.10","3,130.63","3,339.80","1,617.75",2207104,"6,90,96,31,859.00",110682
23-Mar-2021,EQ,"3,140.00","3,169.00","3,122.85","3,129.65","3,142.00","3,142.60","3,148.33","3,339.80","1,617.75",3305973,"10,40,82,99,726.90",167131
22-Mar-2021,EQ,"3,048.70","3,139.45","3,018.65","3,050.20","3,128.00","3,129.65","3,086.03","3,339.80","1,617.75",2821646,"8,70,76,78,923.10",137406
19-Mar-2021,EQ,"3,030.00","3,099.00","3,005.00","3,036.50","3,054.80","3,050.20","3,049.18","3,339.80","1,546.75",5776626,"17,61,39,85,029.65",153489
18-Mar-2021,EQ,"3,125.95","3,146.45","2,987.05","3,112.95","3,042.00","3,036.50","3,083.67","3,339.80","1,546.75",3656306,"11,27,48,28,058.35",164183
17-Mar-2021,EQ,"3,105.00","3,155.00","3,085.30","3,110.05","3,107.40","3,112.95","3,130.14","3,339.80","1,546.75",3838390,"12,01,47,11,142.05",183445
16-Mar-2021,EQ,"3,060.00","3,141.00","3,060.00","3,066.15","3,106.00","3,110.05","3,114.11","3,339.80","1,546.75",4894756,"15,24,28,17,601.80",190871
15-Mar-2021,EQ,"3,041.00","3,099.00","3,041.00","3,057.95","3,062.05","3,066.15","3,069.74","3,339.80","1,546.75",3097140,"9,50,74,10,762.30",138642
12-Mar-2021,EQ,"3,075.00","3,117.00","3,041.35","3,070.95","3,053.10","3,057.95","3,084.20","3,339.80","1,506.05",2938317,"9,06,23,43,314.40",128801
10-Mar-2021,EQ,"3,075.00","3,093.20","3,060.00","3,050.95","3,070.00","3,070.95","3,077.29","3,339.80","1,506.05",3053778,"9,39,73,59,901.30",164340
09-Mar-2021,EQ,"3,006.95","3,066.90","2,992.10","3,006.95","3,060.50","3,050.95","3,023.94","3,339.80","1,506.05",1942397,"5,87,36,98,965.55",133488
08-Mar-2021,EQ,"3,016.00","3,033.00","2,996.00","3,008.05","3,008.70","3,006.95","3,016.64","3,339.80","1,506.05",2003125,"6,04,27,02,431.75",113743
05-Mar-2021,EQ,"3,016.10","3,063.20","2,996.60","3,049.70","3,025.00","3,008.05","3,033.92","3,339.80","1,506.05",3203686,"9,71,97,19,834.10",127882
04-Mar-2021,EQ,"3,023.00","3,081.45","3,016.05","3,059.10","3,042.90","3,049.70","3,058.77","3,339.80","1,506.05",3916760,"11,98,04,83,432.05",174500
03-Mar-2021,EQ,"3,035.00","3,064.00","2,996.90","3,006.35","3,058.00","3,059.10","3,036.11","3,339.80","1,506.05",3509857,"10,65,63,15,248.05",183148
02-Mar-2021,EQ,"2,960.00","3,025.00","2,948.00","2,924.20","3,019.00","3,006.35","2,981.60","3,339.80","1,506.05",3306469,"9,85,85,60,232.35",186577
01-Mar-2021,EQ,"2,926.00","2,965.00","2,901.80","2,894.30","2,935.50","2,924.20","2,929.39","3,339.80","1,506.05",3265871,"9,56,70,12,658.35",170820
26-Feb-2021,EQ,"2,960.00","2,972.35","2,880.00","2,995.30","2,903.85","2,894.30","2,916.68","3,339.80","1,506.05",5553153,"16,19,67,77,082.55",348532
25-Feb-2021,EQ,"2,974.00","3,029.90","2,968.45","2,948.10","2,985.05","2,995.30","3,000.62","3,339.80","1,506.05",4224073,"12,67,48,49,320.45",223397
24-Feb-2021,EQ,"2,972.00","3,003.35","2,921.15","2,980.20","2,946.85","2,948.10","2,946.07","3,339.80","1,506.05",3774549,"11,12,00,81,886.95",132336
23-Feb-2021,EQ,"2,970.00","3,028.00","2,968.00","2,958.45","2,985.10","2,980.20","2,996.35","3,339.80","1,506.05",3832829,"11,48,45,13,631.45",192941
22-Feb-2021,EQ,"3,096.00","3,096.00","2,943.15","3,071.85","2,955.50","2,958.45","2,999.26","3,339.80","1,506.05",5366696,"16,09,61,21,002.20",266786
19-Feb-2021,EQ,"3,058.00","3,087.15","3,016.15","3,057.35","3,078.00","3,071.85","3,047.73","3,339.80","1,506.05",3725028,"11,35,28,87,527.85",130797
18-Feb-2021,EQ,"3,065.00","3,097.90","3,031.00","3,073.10","3,055.00","3,057.35","3,057.94","3,339.80","1,506.05",4189909,"12,81,25,10,327.00",176370
17-Feb-2021,EQ,"3,105.10","3,132.85","3,045.55","3,108.80","3,073.45","3,073.10","3,076.93","3,339.80","1,506.05",3678426,"11,31,82,62,125.10",204277
16-Feb-2021,EQ,"3,150.00","3,167.65","3,100.00","3,139.85","3,113.00","3,108.80","3,122.98","3,339.80","1,506.05",3435770,"10,72,98,49,665.90",171006
15-Feb-2021,EQ,"3,209.00","3,209.00","3,131.55","3,190.80","3,149.00","3,139.85","3,156.80","3,339.80","1,506.05",2630853,"8,30,50,69,201.35",143467
12-Feb-2021,EQ,"3,184.20","3,245.50","3,182.00","3,206.00","3,188.25","3,190.80","3,214.96","3,339.80","1,506.05",2777404,"8,92,92,53,698.30",113414
11-Feb-2021,EQ,"3,215.00","3,219.30","3,185.05","3,213.30","3,204.50","3,206.00","3,201.77","3,339.80","1,506.05",1165882,"3,73,28,84,248.70",53910
